13,Cosmic Power,8,Half,Normal,Sustained,N/A,64,varies,,"Boost, Energy Field",Missing effect,
14,Create Object,2,Half,Normal,Sustained,N/A,64,general,,"Animate object, Continuous, Create attack, Realistic, Shapeable",Feedback,
15,Datalink,2,Half,Normal,Sustained,N/A,64,general,,,,
16,Dazzle,2,Half,Normal,Instant,REF,64,general,Extra sense,"Dazzle burst, Removable, Scramble electronics",Limited sense,
17,Deflection,2,Reaction,Personal,Instant,N/A,65,general,"Catch, Deflection bonus","Automatic, Deflect others, Reflection",Limited,
18,Density Control,6,Free,Personal,Sustained,N/A,65,general,,,Limited - Density increase,YES
19,Dimensional Travel,2,Half,Personal,Instant,N/A,65,none,,Portal,Limited - One dimension,
20,Disintegration,2,Half,Normal,Instant,N/A,66,general,,"Continuous, Disruption, Restoration",Limited - one material,
21,Drain,2,N/A,Touch,Instant,WILL,66,general,,"All attributes, Contagious, Delay, Duration, Extra attribute, Ranged, Secondary effect, Slow recovery","Limited (one attribute, one source)",
22,Duplication,2,Half,Personal,Sustained,N/A,67,general,,"Absorption healing, Horde, Mental Link, Survival","Feedback, Real duplicates",YES
23,Elasticity,4,Half,Personal,Sustained,N/A,68,general,"Bouncing, Gliding","Disguise, Protection",,
24,Element Control,2,Half,Normal,Sustained,Varies,68,general,"Create element, Destroy element, Elemental Snare, Suffocate","Additional element, Create elemental, Elemental absorption, Elemental blast, Elemental movement, Elemental shield, Shape element",,YES
25,Energy Blast,2,Half,Normal,Instant,DMG,69,attack,Dual damage,"Deflection, Explosive blast, Propulsion",Full power,
26,Energy Control,2,Half,Normal,Sustained,Varies,69,general,"Drain energy, Energy blast","Energy Absorption, Energy field, Energy shapes, Flight, Force field",Restricted - power source,YES
27,Energy Field,2,Free,Touch,Sustained,DMG,70,attack,,"Energy blast, Flight, Immunity, Protection, Selective",Permanent,
28,ESP,2,Half,Special,Concentration,N/A,70,general,,Interdimensional,"Limited (one area, one sense)",
29,Fatigue,2,Half,Instant,Normal,FORT,71,general,,Removable,,
30,Flight,2,Half,Personal,Sustained,N/A,71,none,"Space flight, Super flight",,"Limited (gliding, levitation), Restricted - wings",
31,Force Field,2,Free,Personal,Sustained,N/A,72,general,,"Affects others, Deflection, Force Attacks, Force shaping, Immunity, Impenetrable, Invisible, Mental Shield, Offensive",,YES
32,Gadgets,1,Half,By Power,By Power,Power,72,varies,,,,YES
33,Growth,6,Free,Personal,Sustained,N/A,72,general,,Continuous,,YES
34,Healing,3,Half,Touch,Instant,N/A,72,general,,"Regrowth, Resurrection","Empathetic healing, Others only, Self only",
35,Illusion,2,Half,Sight,Sustained,WILL,73,general,,"Area, Damaging, Selective","Limited - (only creatures, only machines, one sense)",YES
36,Immovability,1,None,Personal,Continuous,NA,73,general,,,,
37,Incorporeal,2,Free,Personal,Sustained,N/A,73,general,,"Affects others, Float, Ghost touch, Immunity, Phase attack, Scramble electronics, Selective - Partially incorporeal",Permanent,YES
38,Invisibility,2,Free,Personal,Sustained,N/A,74,general,Extra sense,Affects others,"Limited (only creatures, only machines), permanent",YES
39,Leaping,1,Half,Personal,Instant,N/A,74,none,Super leap,Bouncing,,
40,Luck,5,None,Personal,Instant,N/A,74,varies,"Bestow luck, Counter luck","Fortune, Jinx","Jinx only, Others only",
41,Mental Blast,3,Half,Sight,Instant,DMG/WILL,75,attack,,"Mental assault, psychic sedation",,YES
42,Mental Protection,2,None,Personal,Continuous,N/A,75,none,,,,YES
43,Microscopic Vision,1,Half,Special,Sustained,N/A,75,general,,,,
44,Mimic,2,Half,Touch,Sustained,WILL,75,general,,"Addtl attributes, all attributes, Continuous, expanded powers, extra subject, ranged","backlash, single attribute, tainted mimicry",
45,Mind Control,2,Half,Sight,Sustained,WILL,76,general,mental link,Mind blank,"limited (animal control, emotion control, one command), obvious, Restricted (gaze, pheromones, touch)",YES
46,Natural Weapon,2,Half,Touch,Continuous,DMG,77,attack,"climbing, quills",,,YES
47,Neutralize,2,Half,Normal,Instant,WILL or Rank,77,general,,"neutralizing block, neutralizing field, nullification","limited (one power, one source), Range Touch",YES
48,Obscure,2,Half,Normal,Sustained,N/A,77,general,Extra Sense,Selective,Partial,YES
49,Paralysis,2,Half,Normal,Sustained,WILL,78,general,,Susteined,,YES
50,Plant Control,2,Half,Normal,Sustained,N/A,78,general,Photosynthesis,"plant elementals, plant sense, plant stride, pollen cloud, regeneration",,
51,Posession,3,Half,Sight,Sustained,WILL,78,general,,,"Limited (mind switch, mind transfer), Astral projection, Restricted - Gaze, Touch",
52,Postcognition,3,Full,Personal,Instant,N/A,78,general,,,"Limited - psychometry, Uncontrolled",
53,Precognition,3,Full,Personal,Instant,N/A,79,general,,,"Limited - psychometry, Uncontrolled",
54,Protection,2,None,Personal,Continuous,N/A,79,none,,,One type,
55,Regeneration,2,None,Personal,Continuous,N/A,79,general,,"Regrowth, Back from the brink",,YES
56,Reincarnate,4,Full,Personal,Instant,N/A,80,general,,Never say die,Serial Reincarnation,
57,Running,2,Half,Personal,Instant,N/A,80,none,Super-running,,,
58,Sensory Protection,1,None,Personal,Continuous,N/A,80,general,,,,
59,Shape Matter,2,Half,Normal,Sustained,REF,80,general,,,Limited - one type,
60,Shapeshift,2,Free,Personal,Sustained,N/A,80,general,,"Continuous, Elongation, Exact, Growth, Immovability, Mimic, Movement, Plasticity, Protection, Shrinking","Limited (one type, signature)",YES
61,Shrinking,2,Free,Personal,Sustained,N/A,81,general,,"Microverse, mighty mite",,YES
62,Slick,2,Half,Normal,Sustained,REF,81,general,,"Slide, selective",,
63,Slow,2,Half,Normal,Sustained,WILL,81,general,,,,
64,Snare,2,Half,Normal,Instant,REF,82,general,,"Removable, Swinging",,YES
65,Sorcery,7,Varies,Varies,Varies,Varies,82,varies,,Astral Projection,"Concentration required, Excluded group, restricted - material ward, rote",
66,Space-Flight,2,Full,Personal,Sustained,N/A,84,none,,,,
67,Spinning,2,Half,Personal,Sustained,N/A,84,general,"All around sight, tunneling, whirlwind attack","air ram, blade storm, flight",dizziness,
68,Strike,2,Half,Personal,Instant,DMG,84,attack,dual damage,,,
69,Stun,2,Half,Normal,Instant,FORT,84,general,,,,
70,Suffocate,3,Half,Normal,Concentration,FORT,84,general,,,,
71,Super-Charisma,2,None,Personal,Continuous,N/A,84,none,,intimidating presence,limited,YES
72,Super-Constitution,4,None,Personal,Continuous,N/A,85,none,,,,
73,Super-Dexterity,4,None,Personal,Continuous,N/A,85,none,,,limited,
74,Super-Intelligence,2,None,Personal,Continuous,N/A,85,none,,,,
75,Super-Senses,2,None,Personal,Continuous,N/A,85,none,,,limited - one sense,
76,Super-Skill,1,None,Personal,Continuous,N/A,85,none,,,,
77,Super-Speed,6,Half,Personal,Sustained,N/A,85,none,"Immunity (heat), spinning, wall run, water run, whirlwind","Deflection, Incorporeal, Mach one punch, share speed, Sonic boom",,
78,Super-Strength,4,None,Personal,Continuous,N/A,86,none,Lethal Lifting,"Leaping, Protection, Shockwave, Super Breath, Thunderclap",,
79,Super-Wisdom,3,None,Personal,Continuous,N/A,87,none,,,,
80,Swimming,2,Half,Personal,Sustained,N/A,87,none,"Amphibious, Dolphin leap, super-swimming",,,
81,Swinging,1,Half,Personal,Sustained,N/A,87,none,,,,
82,Telekinesis,2,Half,Normal,Sustained,N/A,87,general,,"Energy Blast, Flight, Force Field, Grapple",,
83,Telepathy,2,Half,Sight,Sustained,WILL,87,general,,"Group Link, Illusion, Memory Alteration, Mind control","Limit (Communication only, empathy)",
84,Teleportation,2,Half,Personal,Instant,N/A,88,none,"turnabout, fusilade","blink, disorient, extended teleport, portal",extended only,YES
85,Telescopic Sense,1,Free,Personal,Sustained,N/A,88,none,,extra sense,,
86,Time Control,9,Half,Normal,Sustained,WILL,89,general,"time freeze, time travel","precognition, postcognition, temporal fuge",others only,YES
87,Time Travel,2,Half,Personal,Instant,N/A,89,none,,portal,"limited (one direction, one period)",
88,Transfer,3,Half,Touch,Instant,WILL,90,general,,"Addt'l attributes, all attributes, expanded powers, extra subject, ranged, slow recovery","Backlash, single attribute, transfer weakness",
89,Transformation,3,Half,Normal,Sustained,REF,91,general,,"Continuous, Elongation, Exact, Growth, Immovability, Mimic, Movement, Plasticity, Protection, Shrinking",Limited - one type,YES
90,Transmutation,3,Half,Normal,Sustained,REF,92,general,,"continuous, creation, destruction, shapeable, suffocation",limited - one state,
91,Tunneling,2,Half,Personal,Sustained,N/A,92,none,,Rapid tunneling,,YES
92,Weapon,1,Half,Touch/Normal,Instant,DMG,92,attack,"dual damage, extra attack","energy field, mighty ranged weapon",,
93,Weather Control,2,Half,Special,Sustained,N/A,92,general,,"air control, fatigue, flight, fog, lightning",,
,,,,,,,,,,,,
,Size,Attack/Defense Modifier,,,,,,,,,,
1,Miniscule,16,,,,,,,,,,
2,Fine,8,,,,,,,,,,
3,Diminutive,4,,,,,,,,,,
4,Tiny,2,,,,,,,,,,
5,Small,1,,,,,,,,,,
6,Medium,0,,,,,,,,,,
7,Large,-1,,,,,,,,,,
8,Huge,-2,,,,,,,,,,
9,Gargantuan,-4,,,,,,,,,,
10,Colossal,-8,,,,,,,,,,
11,Awesome,-16,,,,,,,,,,
,,,,,,,,,,,,
,6,SIZE,,,,,,,,,,
,0,ATT/DEF MOD,,,,,,,,,,
,,,,,,,,,,,,
Enumeration,FEAT,DESC,Prereq,Page,,,,,,,,
0,,,,,,,,,,,,
1,Accurate Attack," (- dmg bonus), (+ attack roll),  5 max","Dex 13+, BAB 1+",45,,,,,,,,
2,Aerial Combat,+1 attack or def when in air,"Dex 13+, BAB 1+",43,,,,,,,,
3,All-Around Sight (Super),"+4 vs surprise attacks, Can't be flanked",None,50,,,,,,,,
4,All-Out Attack,"(-dodge), (+attack), 5 max",Dodge 1+,43,,,,,,,,
5,Ambidexterity,ignores off-hand penalty (-4),Dex 15+,43,,,,,,,,
6,Amphibious (Super),survive in water (swim @30),None,50,,,,,,,,
7,Assessment,"1/2 action, assess 3 abilities of target",Wis 13+,43,,,,,,,,
8,Attack Finesse ,use dex mod. for melee attacks,"Dex 13+, BAB 1+",44,,,,,,,,
9,Attack Focus ," +1 attack (unarmed, armed, weapon, etc)",BAB 1+,44,,,,,,,,
10,Attractive, +3 bluff/diplomacy for attractiveness,Cha 13+,44,,,,,,,,
11,Blind Fight,re-roll a miss if target is concealed,None,44,,,,,,,,
12,Blind Sight (Super),Can use another sense as sight,"Wis 13+, Blind-Fight, or Super senses",50,,,,,,,,
13,Chokehold,"When grappling, can suffocate",BAB 4+,44,,,,,,,,
14,Connected,Knows people who can help,"Cha 13+, Diplomacy 4+ ranks",44,,,,,,,,
15,Darkvision (Super),Can see in total darkness,None,50,,,,,,,,
16,Detect (Super),"Detect specific, spot check -1 per 10 ft",,50,,,,,,,,
17,Dodge,"+1 def, or +2 def to one opponent",Dex 13+  ,45,,,,,,,,
18,Durability (Super),Lethal dmg < = to dmg save is stun,DMG save 1+,51,,,,,,,,
19,Endurance,+4 to endurance-related actions,None,45,,,,,,,,
20,Evasion,Use Ref save instead of Dmg save,"Dex 13+, Dodge",45,,,,,,,,
21,Expertise,"(- def), (+attack), 5 max",Int 13+,45,,,,,,,,
22,Extra Limb (Super),"Extra limb, tail, or other appendage",None,51,,,,,,,,
23,Fame,"+3 Cha if fame is a benefit, -3 if not",None,45,,,,,,,,
24,Far Shot,Increase range increment by 1/2,Point Blank Shot,45,,,,,,,,
25,Greater Fortitude,+2 Fort save,None,45,,,,,,,,
26,Headquarters,Base of operations,None,45,,,,,,,,
27,Heroic Surge,Extra 1/2 action once per day per 4 PLs,None,45,,,,,,,,
28,Hero's Luck,+1 Hero point,None,45,,,,,,,,
29,Identity Change (Super),Can switch to hero form,None,51,,,,,,,,
30,Immunity (Super),Immunity to specific conditions,None,51,,,,,,,,
31,Imp. Critical,Double threat range for specific attack,BAB 8+,45,,,,,,,,
32,Imp. Disarm,"When disarming,target cannot disarm you","Int 13+, Expertise",45,,,,,,,,
33,Imp. Grapple,Can grapple one-handed,BAB 3+,45,,,,,,,,
34,Imp. Initiative,+4 to Initiative,None,45,,,,,,,,
35,Imp. Pin,-4 for target to escape your grapple or pin,BAB 3+,45,,,,,,,,
36,Imp. Trip,"When tripping target, can immediately attack","Int 13+, Expertise",46,,,,,,,,
37,Imp. 2 Weapon Fighting,2nd attack with off-hand weapon,"2 Weapon Fighting, Ambidexterity, BAB 9+",46,,,,,,,,
38,Indomitable Will,Can re-roll missed Will save after 1 round,Wis 13+,46,,,,,,,,
39,Infamy,"+3 Cha if infamy is a benefit, -3 if not",None,46,,,,,,,,
40,Inspire,Can inspire allies by spending hero pt,"Cha 15+, Leadership, 10th Level",46,,,,,,,,
41,Instant Stand,Standing up is a free action,Dex 13+,46,,,,,,,,
42,Iron Will,+2 Will Saves,None,46,,,,,,,,
43,Leadership,"Directing others, +1 to all rolls, free action",Cha 13+,46,,,,,,,,
44,Lightning Reflexes,+2 Ref Saves,None,46,,,,,,,,
45,Mental Link (Super),Can communicate with another over distance,None,52,,,,,,,,
46,Minions,Mooks to do your bidding,6th Level,47,,,,,,,,
47,Move-By Attack,move before & after attack,Dex 13+,47,,,,,,,,
48,Multishot,"multifire penalty -2, autofire -4","Dex 13+, Point blank shot, Rapid shot",47,,,,,,,,
49,Penetrating Attack (Super),"Choose attack, reduce protection by 2",None,52,,,,,,,,
50,Penetrating Vision (Super),Can see through solid objects,None,52,,,,,,,,
51,Photographic Memory,Can recall anything seen/read/experienced,Int 15+,47,,,,,,,,
52,Point Blank Shot,+1 to hit & dmg with ranged attacks w/in 30 ft,None,47,,,,,,,,
53,Power Attack,"(- attack), (+ dmg bonus), 5 max",BAB 1+,47,,,,,,,,
54,Power Immunity (Super),Immune to the effects of your own power,None,52,,,,,,,,
55,Precise Shot,No penalty attacking targets in melee combat,Point Blank Shot,47,,,,,,,,
56,Psychic Awareness (Super),"Detect psionics (sense motive, DC 10, +1 / 10 ft)",None,52,,,,,,,,
57,Quick Draw,Can draw weapon as a free action,BAB 1+,47,,,,,,,,
58,Radio Broadcasting (Super),Can transmit radio signals,"Wis 13+, Radio Hearing",53,,,,,,,,
59,Radio Hearing (Super),Can hear radio signals,None,53,,,,,,,,
60,Rapid Healing,remove addtl stun & lethal hit when recovering,Con 13+,48,,,,,,,,
61,Rapid Shot,Extra ranged attack @ -2,"Dex 13+, Point blank shot",48,,,,,,,,
62,Rapid Strike,Extra melee attack @ -2,"Dex 13+, BAB 3+",48,,,,,,,,
63,Rapid Takedown,No limit to takedowns,"Str 13+, Power Attack, Takedown Attack, BAB 5+",48,,,,,,,,
64,Ricochet Attack,"Bounce ranged attacks off objects, -2 per bounce","Dex 13+, Point Blank Shot",48,,,,,,,,
65,Scent (Super),"Can detect creatures, foes, etc. (DC 10)","Wis 13+, or super senses",53,,,,,,,,
66,See Invisible (Super),Can see invisible targets,None,53,,,,,,,,
67,Sidekick,NPC follower,6th Level,48,,,,,,,,
68,Skill Focus,+3 to any one skill,1+ rank in the skill,48,,,,,,,,
69,Startle,"Intimidate opponent, they lose dodge bonus",Intimidate 4+,48,,,,,,,,
70,Stunning Attack,Change hit to stun,"Dex 13+, BAB 5+",49,,,,,,,,
71,Surprise Strike, +1 dmg/2 PLs if target flat,"Init +1, BAB 1+",49,,,,,,,,
72,Takedown Attack,Make add'tl attack if you stun,"Power attack, BAB 2+",49,,,,,,,,
73,Talented,+2 to two related skills,"13+ in skill's abilities, ranks in skill",49,,,,,,,,
74,Throwing Mastery,"Any object a ranged weapon, DMG=dex bonus","Dex 13+, BAB 5+",49,,,,,,,,
75,Toughness,+2 to Damage Saves,None,49,,,,,,,,
76,Track,Can track target across terrain,None,49,,,,,,,,
77,Trance,Can enter death-like trance,Wis 13+,49,,,,,,,,
78,True Sight (Super),Unaffected by illusions,"Wis 13+, or super senses",53,,,,,,,,
79,Two-Weapon Fighting,"Reduces 2 weapon fighting penalty to -2, -6",None,50,,,,,,,,
80,Ultra Hearing (Super),Can hear low and high pitched noises,None,53,,,,,,,,
81,Underwater Combat,+1 att or def when fighting underwater,"Dex 13+, Amphibious, or 5+ swim",50,,,,,,,,
82,Whirlwind Attack,Give up your action to attack all targets w/in 5 ft.,"Int 13+, Dex 13+, Expertise, Rapid Strike, Move-by Attack, BAB 4+",50,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Weaknesses,,,,,,,,,,,
1,Berserker,Will save DC 20 or go berserk,106,,,,,,,,,
2,Disabled,Lacks a sense or means of movement,106,,,,,,,,,
3,Disturbing, -5 Bluff / Diplomacy,107,,,,,,,,,
4,Naïve, -5 Sense Motive checks,107,,,,,,,,,
5,Quirk,Strong personality quirk,107,,,,,,,,,
6,Susceptible,Vulnerable to non-harmful substance,107,,,,,,,,,
7,Transformation,Will save DC 15 (+1/round) or transform,107,,,,,,,,,
8,Unlucky,Unluck at GM's discretion,107,,,,,,,,,
9,Vulnerable,No dmg save to a substance,107,,,,,,,,,
